stage,epoch,train_loss,val_disease_acc,val_disease_f1,val_severity_acc,val_severity_f1,val_joint_acc,synergy_gain,recall_healthy,recall_general,recall_serious
1,1,0.832052892606713,0.9106551952349438,0.853827281996757,0.2631811162585484,0.235394311116588,0.25060666225457756,0.010939411445998748,0.7331995987963892,0.07471264367816093,0.1751269035532995
1,2,0.32316219578468774,0.9384513567174056,0.8898867320837256,0.2722258989631591,0.2481304014226906,0.2583278182219281,0.0028570540063360683,0.720160481444333,0.08876117496807152,0.19137055837563452
1,3,0.24209445957132214,0.9269799249944849,0.8792320136744601,0.2697992499448489,0.2437006429262576,0.25501875137877783,0.004920262901333516,0.7271815446339017,0.08045977011494253,0.18883248730964466
1,4,0.2063862115378977,0.9395543789984557,0.8917130141688542,0.2697992499448489,0.2445550441400471,0.25766600485329805,0.004174938117116389,0.7311935807422267,0.08684546615581099,0.1817258883248731
1,5,0.17462868249500982,0.9452900948599162,0.9030125328894124,0.26538716082064856,0.23796621305472257,0.2561217736598279,0.005253919233073168,0.7291875626880642,0.07471264367816093,0.18223350253807108
1,6,0.1588448412965749,0.943525259210236,0.8982687253675947,0.27200529450694905,0.24535464825948927,0.26119567615265826,0.004551810146432578,0.7392176529588766,0.08173690932311622,0.18680203045685279
1,7,0.15141700737510805,0.942863445841606,0.8928512613598151,0.26781380983895875,0.24259953686076305,0.2583278182219281,0.0058159666331988324,0.7261785356068204,0.08556832694763729,0.18071065989847715
1,8,0.1354265643574645,0.9441870725788661,0.894643207314994,0.27509375689388926,0.2499720362930514,0.26251930288991837,0.00277933388355478,0.7251755265797393,0.0842911877394636,0.19898477157360406
2,1,0.3785315141607199,0.9483785572468564,0.9034675005990664,0.8089565409221267,0.8324621628641827,0.7774101036840945,0.01021306652896048,0.9909729187562688,0.879948914431673,0.6604060913705584
2,2,0.32521084376147225,0.9477167438782264,0.8999594987294807,0.8168983013456872,0.839833870226784,0.7835870284579749,0.009398830226986066,0.9749247743229689,0.901021711366539,0.6700507614213198
2,3,0.30828600536981043,0.9457313037723362,0.896421497469315,0.8255018751378778,0.8469714352514961,0.7926318111625855,0.011928846521932157,0.9759277833500501,0.8684546615581098,0.7152284263959391
2,4,0.28705164892733825,0.9474961394220163,0.8995296119085308,0.827928524156188,0.8485547811560995,0.7961614824619457,0.011702402106590015,0.9799398194583752,0.855683269476373,0.7289340101522843
2,5,0.27057291739173917,0.9527906463710567,0.9080191821092882,0.8250606662254577,0.8468496691494147,0.7968232958305758,0.010713210362287229,0.9749247743229689,0.9016602809706258,0.6883248730964467
2,6,0.25986372511028494,0.9514670196337967,0.9052571053202032,0.827928524156188,0.8494676001680311,0.7963820869181557,0.008635401569459744,0.9809428284854563,0.8978288633461047,0.6949238578680204
2,7,0.25022097608224364,0.9527906463710567,0.9067776861969473,0.8347672622986985,0.855302157857984,0.8045444517979263,0.009186012382952025,0.9799398194583752,0.8812260536398467,0.7243654822335025
2,8,0.24998291428039748,0.9563203176704169,0.9106442588839112,0.8380763291418487,0.8580919538102015,0.8111625854842268,0.0096931641672372,0.9769307923771314,0.8793103448275862,0.7350253807106599
3,1,0.3820203864526919,0.9552172953893668,0.9072933259940641,0.8577101257445401,0.8753477941856906,0.8257224795940878,0.006422933052314561,0.9899699097291875,0.8773946360153256,0.7751269035532995
3,2,0.3375926321431867,0.9649238914626076,0.9221546929655378,0.8656518861681006,0.8812153677319703,0.8431502316346791,0.007862044981409189,0.9889669007021064,0.8722860791826309,0.7979695431472081
3,3,0.2896686699262541,0.9660269137436576,0.9191614317800283,0.8740348555040812,0.8881510646909018,0.8515332009706597,0.007192007003668399,0.9929789368104313,0.8461047254150702,0.8360406091370558
3,4,0.25698850409975854,0.9636002647253474,0.9220084604617232,0.8674167218177807,0.8833732922588343,0.842709022722259,0.006866039951452407,0.9859578736208626,0.8684546615581098,0.8065989847715737
3,5,0.22248553339184954,0.9695565850430179,0.9270954228810174,0.8769027134348114,0.8917666565209355,0.8555040811824399,0.005297280929628001,0.9909729187562688,0.8544061302681992,0.8370558375634518
3,6,0.19177205045949844,0.9735274652547982,0.9323214144243485,0.8782263401720715,0.8930544142990681,0.8592543569380101,0.004276894070295301,0.9909729187562688,0.8390804597701149,0.8522842639593908
3,7,0.16218634401968263,0.970659607324068,0.9281531566507616,0.8757996911537613,0.8911275699266169,0.8546216633575998,0.004518279047749818,0.9889669007021064,0.8473818646232439,0.8411167512690355
3,8,0.13671580821253726,0.972645047429958,0.9321074726978885,0.8782263401720715,0.8929845565416175,0.8596955658504302,0.0054930655595272215,0.9919759277833501,0.8601532567049809,0.8350253807106599
3,9,0.1204854067158396,0.9704390028678579,0.9281692572641134,0.8769027134348114,0.8917329156745769,0.85660710346349,0.005626508625692694,0.9899699097291875,0.8461047254150702,0.8441624365482233
3,10,0.11556614153913523,0.9724244429737481,0.9305832115403045,0.8786675490844915,0.8931632157143444,0.8590337524818001,0.004595950504205026,0.9889669007021064,0.8390804597701149,0.8543147208121827
